,0
0,63.883519771460115
1,74.10596188143448
2,48.37547594837477
3,71.91652484868068
4,54.434724537824394
5,81.3250581619362
6,68.49707617291797
7,54.40824371103459
8,48.82534857610996
9,31.333177849474573
10,82.39512690685243
11,38.13238561968013
12,82.90154059150777
13,60.669797217460776
14,66.55325172170633
15,32.31376119505441
16,64.03578066741366
17,85.92671142646972
18,68.17970586987406
19,33.137196491674906
20,85.27859965776358
21,44.078211298794656
22,47.33190178539094
23,47.89638675184556
24,75.53069338401366
25,74.8178806736663
26,75.41741077510477
27,47.35744050445861
28,58.89403811856555
29,67.53575254407986
30,27.354571067801476
31,82.89748913125968
32,26.547611424877395
33,66.41476195146446
34,72.76548850110085
35,38.85565208865795
36,65.87460269526659
37,51.25362119701188
38,80.93372863338917
39,19.573831865473945
40,17.174306402621536
41,79.51165415594127
42,53.095984551062664
43,49.17763881737084
44,74.59605493773256
