,0
0,0.4742568808549246
1,0.6984864306639521
2,0.7295337718553524
3,0.6970025343071562
4,0.46816844226170395
5,0.5907526605584796
6,0.9239887656942093
7,0.7222459024273233
8,0.28327669927628674
9,0.824427708992921
10,0.5979084709115954
11,0.8388371949230843
12,0.751987749389094
13,0.805706120192127
14,0.46573057852865596
15,0.9758776442724811
16,0.8016651807234138
17,0.9617244772219932
18,0.6949753165268792
19,0.9163105789305207
20,0.9049864956321075
21,0.5723522301263101
22,0.7537372061842361
23,0.7595002334218978
24,0.5549864929145866
25,0.39557229778638237
26,0.5636885849394063
27,0.6026615906789748
28,0.7407743303396973
29,0.880096194143367
30,0.7805954686332724
31,0.972727607723815
32,0.8744820981481382
33,0.5581333116867259
34,0.30656362004596005
35,0.8435496665301027
36,0.45476794697654455
37,0.7925880601449145
38,0.8989179195764647
39,0.5793221777106093
40,0.9900897823631788
41,0.7066877543387153
42,0.8624815438784714
43,0.819505201697882
44,0.5615150855110215
45,0.6293240771263591
46,0.5384283420196384
47,0.8442843475778435
48,0.6751385852931906
49,0.49481923388140747
50,0.8168309339194405
51,0.5664036045271121
52,0.7834314997802633
53,0.881363038422272
54,0.5213491250737778
55,0.7208521030226857
56,0.8443056809364121
57,0.5923534505184691
58,0.5991908095445138
59,1.0020559178266617
60,0.9310638806720818
61,0.4735408548282503
62,0.8287261994892355
63,0.7221012498993585
64,0.6019084057114901
65,0.7702196595370351
66,0.46858242337240774
67,0.8814772062355446
68,0.8705900565317379
69,0.7054636474976758
70,0.68899625350051
71,0.7868079782631524
72,0.6744062447837363
73,0.5063044777122192
74,0.9016095282486805
75,0.8696099736576673
76,0.6428603737304345
77,0.5288691194949774
78,0.4824715901097382
79,0.8557271165970578
80,0.29410753421485447
81,0.7698020757911637
82,0.607152333836523
83,0.7451318613911718
84,0.7238522034225634
85,0.7300432877655539
86,0.6007233179106682
87,0.5146625605795463
88,0.8688292242516631
89,0.9137343702274615
90,0.39415907797717975
91,0.4836576941997436
92,0.6689577802853506
93,0.6651935757458752
94,0.7600000000000006
95,0.7835336204423959
96,0.7540548609886043
97,0.4629207622908527
98,0.7773425360994053
99,0.2978914429927553
